Id;Item_ID;Product;Quantity;Price
74;I00074;Carregador Turbo Tipo-C 50w;3;539
75;I00075;Projetor Smart Epson EpiqVision, FULL HD;2;304999
76;I00076;Fone de ouvido Sem Fio QCY T27;4;12986
77;I00077;Fone de Ouvido Profissional AKG K92;2;42899
78;I00078;SSD Crucial 1TB NVMe M.2;3;4490
79;I00079;Projetor EPSON Powerlite Wide Screen;3;274213
80;I00080;Película para iPhone 14Pro Anti impacto;4;518
81;I00081;Fone de ouvido Sem Fio QCY T27;4;12986
82;I00082;Samsung Galaxy Tab S6 Lite;1;179901
83;I00083;Fone de ouvido Sem Fio QCY T27;4;12986
84;I00084;Projetor Smart Epson EpiqVision, FULL HD;2;304999
85;I00085;Fone de ouvido Sem Fio QCY T27;3;12986
86;I00086;Fone de Ouvido Sem Fio TWS, PHILIPS;3;12491
87;I00087;Película para iPhone 14Pro Anti impacto;1;518
88;I00088;Fone de ouvido Sem Fio QCY T27;4;12986
89;I00089;"Smart TV LED 32""Samsung LED Tizen TV";4;10790
90;I00090;Samsung Galaxy Tab S6 Lite;4;179901
91;I00091;Película para iPhone 14Pro Anti impacto;3;518
92;I00092;Fone de Ouvido Sem Fio TWS, PHILIPS;2;12491
93;I00093;Soundbar Tomate MTS-2017, Bivolt;2;7699
94;I00094;Fone de Ouvido Profissional EDIFIER WH950NB;2;8990
95;I00095;Teclado Mecanico Fizz;3;1749
96;I00096;Soundbar Tomate MTS-2017, Bivolt;4;7699
97;I00097;Projetor Smart Epson EpiqVision, FULL HD;1;304999
98;I00098;Teclado Mecanico Fizz;3;1749
99;I00099;Fone de ouvido Sem Fio QCY T27;4;12986
100;I00100;Smart TV 32” Philco LED Roku TV;2;9490
101;I00101;Mouse Redragon Wireless;1;16599
102;I00102;ACER Notebook Gamer Nitro;2;46040
103;I00103;SSD Crucial 1TB NVMe M.2;4;4490
104;I00104;Projetor Smart Epson EpiqVision, FULL HD;1;304999
105;I00105;Película de Vidro 3D Galaxy A30s;4;179
106;I00106;Projetor Smart Epson EpiqVision, FULL HD;2;304999
107;I00107;Soundbar Samsung com 2.1 canais, Dolby Digital;4;10720
108;I00108;Mouse Redragon Wireless;2;16599
109;I00109;Película para iPhone 14Pro Anti impacto;3;518
110;I00110;Carregador Turbo USB-C 30W;3;499
111;I00111;Projetor EPSON Powerlite Wide Screen;4;274213
112;I00112;Fone de ouvido Sem Fio QCY T27;3;12986
113;I00113;Fone de ouvido Sem Fio QCY T27;3;12986
114;I00114;Smart TV 32” Philco LED Roku TV;4;9490
115;I00115;Samsung Galaxy A36;3;19791
116;I00116;Soundbar Samsung com 2.1 canais, Dolby Digital;2;10720
117;I00117;Soundbar Samsung com 2.1 canais, Dolby Digital;4;10720
118;I00118;Carregador Turbo USB-C 30W;1;499
119;I00119;SSD Crucial 1TB NVMe M.2;1;4490
120;I00120;Película de Vidro 3D Galaxy A30s;2;179
121;I00121;"Smart TV LED 32""Samsung LED Tizen TV";4;10790
122;I00122;Samsung Galaxy A36;1;19791
123;I00123;Fone de ouvido Sem Fio QCY T27;1;12986
124;I00124;Samsung Galaxy A36;2;19791
125;I00125;Película de Vidro 3D Galaxy A30s;4;179
126;I00126;Projetor Smart Epson EpiqVision, FULL HD;1;304999
127;I00127;Carregador Turbo Tipo-C 50w;3;539
128;I00128;Fone de ouvido Sem Fio QCY T27;2;12986
129;I00129;"Monitor UHD Samsung 32""";4;162657
130;I00130;Projetor Smart Epson EpiqVision, FULL HD;2;304999
131;I00131;Soundbar Tomate MTS-2017, Bivolt;4;7699
132;I00132;"Monitor UHD Samsung 32""";4;162657
133;I00133;"Smart TV LED 32""Samsung LED Tizen TV";3;10790
134;I00134;Teclado Mecanico Fizz;4;1749
135;I00135;Mouse Redragon Wireless;1;16599
136;I00136;"Monitor UHD Samsung 32""";3;162657
137;I00137;Samsung Galaxy Tab S6 Lite;3;179901
138;I00138;Smart TV 32” Philco LED Roku TV;2;9490
139;I00139;Película de Vidro 3D Galaxy A30s;3;179
140;I00140;"Smart TV LED 32""Samsung LED Tizen TV";3;10790
141;I00141;Película de Vidro 3D Galaxy A30s;1;179
142;I00142;Mouse Redragon Wireless;4;16599
143;I00143;Fone de Ouvido Profissional AKG K92;2;42899
144;I00144;Carregador Turbo USB-C 30W;1;499
145;I00145;Fone de ouvido Sem Fio QCY T27;3;12986
146;I00146;Película de Vidro 3D Galaxy A30s;1;179
147;I00147;Smart TV 32” Philco LED Roku TV;1;9490
148;I00148;SSD Crucial 1TB NVMe M.2;4;4490
149;I00149;"Monitor UHD Samsung 32""";4;162657
150;I00150;Samsung Galaxy A36;3;19791
151;I00151;Película para iPhone 14Pro Anti impacto;1;518
152;I00152;ACER Notebook Gamer Nitro;2;46040
153;I00153;Samsung Galaxy A36;4;19791
154;I00154;Soundbar Tomate MTS-2017, Bivolt;3;7699
155;I00155;Fone de Ouvido Sem Fio TWS, PHILIPS;2;12491
156;I00156;Projetor Smart Epson EpiqVision, FULL HD;2;304999
157;I00157;Soundbar Tomate MTS-2017, Bivolt;3;7699
158;I00158;SSD Crucial 1TB NVMe M.2;1;4490
159;I00159;Projetor Smart Epson EpiqVision, FULL HD;3;304999
160;I00160;Fone de Ouvido Profissional AKG K92;1;42899
161;I00161;Mouse Redragon Wireless;1;16599
162;I00162;"Monitor UHD Samsung 32""";4;162657
163;I00163;"Monitor UHD Samsung 32""";1;162657
164;I00164;Samsung Galaxy Tab S6 Lite;3;179901
165;I00165;"Smart TV LED 32""Samsung LED Tizen TV";1;10790
166;I00166;Fone de Ouvido Profissional AKG K92;3;42899
167;I00167;Projetor Smart Epson EpiqVision, FULL HD;2;304999
168;I00168;Fone de Ouvido Profissional EDIFIER WH950NB;1;8990
169;I00169;Fone de Ouvido Profissional EDIFIER WH950NB;3;8990
170;I00170;Fone de ouvido Sem Fio QCY T27;2;12986
171;I00171;SSD Crucial 1TB NVMe M.2;2;4490
172;I00172;Soundbar Tomate MTS-2017, Bivolt;4;7699
173;I00173;Teclado Mecanico Fizz;2;1749
174;I00174;ACER Notebook Gamer Nitro;1;46040
175;I00175;Projetor EPSON Powerlite Wide Screen;4;274213
176;I00176;Carregador Turbo USB-C 30W;3;499
177;I00177;Samsung Galaxy Tab S6 Lite;2;179901
178;I00178;Samsung Galaxy Tab S6 Lite;2;179901
179;I00179;"Smart TV LED 32""Samsung LED Tizen TV";4;10790
180;I00180;Soundbar Samsung com 2.1 canais, Dolby Digital;4;10720
181;I00181;Projetor EPSON Powerlite Wide Screen;2;274213
182;I00182;Fone de Ouvido Profissional AKG K92;3;42899
183;I00183;"Smart TV LED 32""Samsung LED Tizen TV";2;10790
184;I00184;Samsung Galaxy A36;2;19791
185;I00185;Carregador Turbo USB-C 30W;1;499
186;I00186;"Monitor UHD Samsung 32""";2;162657
187;I00187;Película para iPhone 14Pro Anti impacto;1;518
188;I00188;Samsung Galaxy A36;4;19791
189;I00189;ACER Notebook Gamer Nitro;4;46040
190;I00190;Teclado Mecanico Fizz;2;1749
191;I00191;Soundbar Samsung com 2.1 canais, Dolby Digital;1;10720
192;I00192;"Monitor UHD Samsung 32""";2;162657
193;I00193;Mouse Redragon Wireless;3;16599
194;I00194;Fone de ouvido Sem Fio QCY T27;4;12986
195;I00195;Samsung Galaxy Tab S6 Lite;3;179901
196;I00196;Película para iPhone 14Pro Anti impacto;3;518
197;I00197;Soundbar Tomate MTS-2017, Bivolt;3;7699
198;I00198;SSD Crucial 1TB NVMe M.2;3;4490
199;I00199;Projetor EPSON Powerlite Wide Screen;4;274213
200;I00200;Carregador Turbo USB-C 30W;3;499
201;I00201;Soundbar Tomate MTS-2017, Bivolt;1;7699
202;I00202;Fone de Ouvido Profissional AKG K92;2;42899
203;I00203;"Monitor UHD Samsung 32""";3;162657
204;I00204;"Monitor UHD Samsung 32""";4;162657
205;I00205;Samsung Galaxy Tab S6 Lite;4;179901
206;I00206;ACER Notebook Gamer Nitro;4;46040
207;I00207;Projetor EPSON Powerlite Wide Screen;4;274213
208;I00208;Projetor EPSON Powerlite Wide Screen;3;274213
209;I00209;Mouse Redragon Wireless;3;16599
210;I00210;SSD Crucial 1TB NVMe M.2;1;4490
211;I00211;Fone de Ouvido Sem Fio TWS, PHILIPS;3;12491
212;I00212;Fone de Ouvido Profissional AKG K92;3;42899
213;I00213;Samsung Galaxy A36;2;19791
214;I00214;"Smart TV LED 32""Samsung LED Tizen TV";3;10790
215;I00215;Película para iPhone 14Pro Anti impacto;3;518
216;I00216;Smart TV 32” Philco LED Roku TV;1;9490
217;I00217;Fone de Ouvido Profissional EDIFIER WH950NB;2;8990
218;I00218;Projetor Smart Epson EpiqVision, FULL HD;3;304999
219;I00219;Fone de Ouvido Profissional EDIFIER WH950NB;2;8990
220;I00220;Fone de Ouvido Sem Fio TWS, PHILIPS;4;12491
221;I00221;Película para iPhone 14Pro Anti impacto;3;518
222;I00222;Carregador Turbo USB-C 30W;3;499
223;I00223;Smart TV 32” Philco LED Roku TV;4;9490
224;I00224;Carregador Turbo Tipo-C 50w;4;539
225;I00225;Fone de Ouvido Profissional EDIFIER WH950NB;2;8990
226;I00226;Soundbar Tomate MTS-2017, Bivolt;1;7699
227;I00227;"Monitor UHD Samsung 32""";1;162657
228;I00228;Fone de Ouvido Profissional EDIFIER WH950NB;3;8990
229;I00229;Soundbar Samsung com 2.1 canais, Dolby Digital;1;10720
230;I00230;Mouse Redragon Wireless;3;16599
231;I00231;ACER Notebook Gamer Nitro;1;46040
232;I00232;Fone de ouvido Sem Fio QCY T27;2;12986
233;I00233;Soundbar Tomate MTS-2017, Bivolt;4;7699
234;I00234;ACER Notebook Gamer Nitro;4;46040
235;I00235;"Monitor UHD Samsung 32""";3;162657
236;I00236;Fone de ouvido Sem Fio QCY T27;1;12986
237;I00237;Samsung Galaxy Tab S6 Lite;4;179901
238;I00238;Soundbar Samsung com 2.1 canais, Dolby Digital;2;10720
239;I00239;Fone de Ouvido Sem Fio TWS, PHILIPS;3;12491
240;I00240;Carregador Turbo USB-C 30W;4;499
241;I00241;SSD Crucial 1TB NVMe M.2;4;4490
242;I00242;Película para iPhone 14Pro Anti impacto;3;518
243;I00243;Mouse Redragon Wireless;3;16599
244;I00244;Soundbar Tomate MTS-2017, Bivolt;2;7699
245;I00245;Smart TV 32” Philco LED Roku TV;1;9490
246;I00246;SSD Crucial 1TB NVMe M.2;1;4490
247;I00247;Projetor Smart Epson EpiqVision, FULL HD;4;304999
248;I00248;Carregador Turbo Tipo-C 50w;1;539
249;I00249;"Monitor UHD Samsung 32""";2;162657
250;I00250;Mouse Redragon Wireless;4;16599
251;I00251;Fone de Ouvido Profissional EDIFIER WH950NB;4;8990
252;I00252;ACER Notebook Gamer Nitro;1;46040
253;I00253;Fone de ouvido Sem Fio QCY T27;1;12986
254;I00254;ACER Notebook Gamer Nitro;1;46040
255;I00255;Samsung Galaxy A36;2;19791
256;I00256;"Monitor UHD Samsung 32""";2;162657
257;I00257;Carregador Turbo USB-C 30W;1;499
258;I00258;Carregador Turbo USB-C 30W;2;499
259;I00259;Fone de Ouvido Profissional AKG K92;3;42899
260;I00260;Fone de Ouvido Sem Fio TWS, PHILIPS;3;12491
261;I00261;Carregador Turbo Tipo-C 50w;4;539
262;I00262;"Monitor UHD Samsung 32""";3;162657
263;I00263;Soundbar Tomate MTS-2017, Bivolt;4;7699
264;I00264;Smart TV 32” Philco LED Roku TV;1;9490
265;I00265;Projetor Smart Epson EpiqVision, FULL HD;2;304999
266;I00266;Soundbar Samsung com 2.1 canais, Dolby Digital;1;10720
267;I00267;Película para iPhone 14Pro Anti impacto;3;518
268;I00268;Soundbar Samsung com 2.1 canais, Dolby Digital;2;10720
269;I00269;Projetor EPSON Powerlite Wide Screen;3;274213
270;I00270;Fone de Ouvido Profissional EDIFIER WH950NB;1;8990
271;I00271;"Smart TV LED 32""Samsung LED Tizen TV";2;10790
272;I00272;Projetor Smart Epson EpiqVision, FULL HD;3;304999
273;I00273;Projetor EPSON Powerlite Wide Screen;4;274213
274;I00274;Teclado Mecanico Fizz;4;1749
275;I00275;Teclado Mecanico Fizz;3;1749
276;I00276;Samsung Galaxy A36;3;19791
277;I00277;Película para iPhone 14Pro Anti impacto;3;518
278;I00278;Fone de Ouvido Profissional EDIFIER WH950NB;4;8990
279;I00279;Fone de ouvido Sem Fio QCY T27;1;12986
280;I00280;SSD Crucial 1TB NVMe M.2;4;4490
281;I00281;Carregador Turbo USB-C 30W;3;499
282;I00282;Samsung Galaxy Tab S6 Lite;3;179901
283;I00283;Película de Vidro 3D Galaxy A30s;2;179
284;I00284;Película de Vidro 3D Galaxy A30s;3;179
285;I00285;Carregador Turbo USB-C 30W;3;499
286;I00286;Fone de ouvido Sem Fio QCY T27;1;12986
287;I00287;"Smart TV LED 32""Samsung LED Tizen TV";4;10790
288;I00288;Fone de Ouvido Profissional AKG K92;1;42899
289;I00289;Fone de Ouvido Profissional EDIFIER WH950NB;2;8990
290;I00290;Projetor EPSON Powerlite Wide Screen;2;274213
291;I00291;Samsung Galaxy A36;2;19791
292;I00292;ACER Notebook Gamer Nitro;4;46040
293;I00293;Fone de Ouvido Sem Fio TWS, PHILIPS;4;12491
294;I00294;Samsung Galaxy Tab S6 Lite;1;179901
295;I00295;Fone de Ouvido Profissional AKG K92;2;42899
296;I00296;Mouse Redragon Wireless;1;16599
297;I00297;Samsung Galaxy A36;4;19791
298;I00298;"Monitor UHD Samsung 32""";4;162657
299;I00299;Fone de Ouvido Sem Fio TWS, PHILIPS;1;12491
300;I00300;Teclado Mecanico Fizz;2;1749
301;I00301;Soundbar Samsung com 2.1 canais, Dolby Digital;2;10720
302;I00302;Soundbar Tomate MTS-2017, Bivolt;2;7699
303;I00303;Fone de ouvido Sem Fio QCY T27;4;12986
304;I00304;Película de Vidro 3D Galaxy A30s;2;179
305;I00305;Soundbar Samsung com 2.1 canais, Dolby Digital;1;10720
306;I00306;Mouse Redragon Wireless;2;16599
307;I00307;Projetor EPSON Powerlite Wide Screen;3;274213
308;I00308;Carregador Turbo Tipo-C 50w;3;539
309;I00309;Teclado Mecanico Fizz;3;1749
310;I00310;Mouse Redragon Wireless;3;16599
311;I00311;Soundbar Samsung com 2.1 canais, Dolby Digital;1;10720
312;I00312;Fone de Ouvido Profissional EDIFIER WH950NB;4;8990
313;I00313;Samsung Galaxy A36;1;19791
314;I00314;Fone de Ouvido Profissional EDIFIER WH950NB;3;8990
315;I00315;"Smart TV LED 32""Samsung LED Tizen TV";1;10790
316;I00316;Película de Vidro 3D Galaxy A30s;3;179
317;I00317;Projetor Smart Epson EpiqVision, FULL HD;4;304999
318;I00318;Carregador Turbo Tipo-C 50w;4;539
319;I00319;Película para iPhone 14Pro Anti impacto;4;518
320;I00320;Projetor Smart Epson EpiqVision, FULL HD;3;304999
321;I00321;Samsung Galaxy Tab S6 Lite;1;179901
322;I00322;Projetor EPSON Powerlite Wide Screen;3;274213
323;I00323;Soundbar Samsung com 2.1 canais, Dolby Digital;2;10720
324;I00324;Samsung Galaxy A36;4;19791
325;I00325;SSD Crucial 1TB NVMe M.2;1;4490
326;I00326;"Monitor UHD Samsung 32""";2;162657
327;I00327;Fone de Ouvido Profissional EDIFIER WH950NB;3;8990
328;I00328;Soundbar Tomate MTS-2017, Bivolt;1;7699
329;I00329;"Smart TV LED 32""Samsung LED Tizen TV";3;10790
330;I00330;Soundbar Samsung com 2.1 canais, Dolby Digital;2;10720
331;I00331;Carregador Turbo USB-C 30W;4;499
332;I00332;Película de Vidro 3D Galaxy A30s;1;179
333;I00333;Projetor Smart Epson EpiqVision, FULL HD;3;304999
334;I00334;Fone de ouvido Sem Fio QCY T27;4;12986
335;I00335;Smart TV 32” Philco LED Roku TV;2;9490
336;I00336;Fone de Ouvido Profissional AKG K92;1;42899
337;I00337;Soundbar Samsung com 2.1 canais, Dolby Digital;1;10720
338;I00338;Projetor Smart Epson EpiqVision, FULL HD;1;304999
339;I00339;Projetor EPSON Powerlite Wide Screen;4;274213
340;I00340;SSD Crucial 1TB NVMe M.2;1;4490
341;I00341;Película para iPhone 14Pro Anti impacto;4;518
342;I00342;Smart TV 32” Philco LED Roku TV;3;9490
343;I00343;Fone de Ouvido Profissional AKG K92;1;42899
344;I00344;Fone de ouvido Sem Fio QCY T27;4;12986
345;I00345;Carregador Turbo USB-C 30W;2;499
346;I00346;Fone de ouvido Sem Fio QCY T27;4;12986
347;I00347;Soundbar Tomate MTS-2017, Bivolt;3;7699
348;I00348;Projetor Smart Epson EpiqVision, FULL HD;3;304999
349;I00349;"Smart TV LED 32""Samsung LED Tizen TV";4;10790
350;I00350;Película de Vidro 3D Galaxy A30s;2;179
351;I00351;Fone de ouvido Sem Fio QCY T27;3;12986
352;I00352;Samsung Galaxy A36;2;19791
353;I00353;Projetor EPSON Powerlite Wide Screen;1;274213
354;I00354;Fone de Ouvido Profissional EDIFIER WH950NB;3;8990
355;I00355;Projetor Smart Epson EpiqVision, FULL HD;3;304999
356;I00356;Fone de Ouvido Profissional EDIFIER WH950NB;4;8990
357;I00357;Teclado Mecanico Fizz;2;1749
358;I00358;Película para iPhone 14Pro Anti impacto;1;518
359;I00359;Película de Vidro 3D Galaxy A30s;1;179
360;I00360;Soundbar Samsung com 2.1 canais, Dolby Digital;3;10720
361;I00361;Mouse Redragon Wireless;2;16599
362;I00362;Teclado Mecanico Fizz;4;1749
363;I00363;ACER Notebook Gamer Nitro;2;46040
364;I00364;Mouse Redragon Wireless;1;16599
365;I00365;Carregador Turbo USB-C 30W;4;499
366;I00366;Fone de Ouvido Profissional AKG K92;3;42899
367;I00367;"Monitor UHD Samsung 32""";4;162657
368;I00368;Projetor EPSON Powerlite Wide Screen;1;274213
369;I00369;Fone de ouvido Sem Fio QCY T27;4;12986
370;I00370;Fone de Ouvido Sem Fio TWS, PHILIPS;3;12491
371;I00371;Fone de Ouvido Sem Fio TWS, PHILIPS;2;12491
372;I00372;Película de Vidro 3D Galaxy A30s;3;179
373;I00373;Película de Vidro 3D Galaxy A30s;4;179
374;I00374;"Monitor UHD Samsung 32""";1;162657
375;I00375;"Monitor UHD Samsung 32""";1;162657
376;I00376;Carregador Turbo Tipo-C 50w;3;539
377;I00377;"Smart TV LED 32""Samsung LED Tizen TV";3;10790
378;I00378;Película de Vidro 3D Galaxy A30s;4;179
379;I00379;Soundbar Samsung com 2.1 canais, Dolby Digital;2;10720
380;I00380;Samsung Galaxy Tab S6 Lite;1;179901
381;I00381;SSD Crucial 1TB NVMe M.2;2;4490
382;I00382;Fone de Ouvido Profissional AKG K92;3;42899
383;I00383;Projetor EPSON Powerlite Wide Screen;2;274213
384;I00384;Samsung Galaxy A36;2;19791
385;I00385;Película para iPhone 14Pro Anti impacto;2;518
386;I00386;Samsung Galaxy Tab S6 Lite;4;179901
387;I00387;Mouse Redragon Wireless;1;16599
388;I00388;SSD Crucial 1TB NVMe M.2;4;4490
389;I00389;Mouse Redragon Wireless;3;16599
390;I00390;Projetor EPSON Powerlite Wide Screen;3;274213
391;I00391;Carregador Turbo USB-C 30W;1;499
392;I00392;Projetor EPSON Powerlite Wide Screen;3;274213
393;I00393;Película de Vidro 3D Galaxy A30s;1;179
394;I00394;Projetor EPSON Powerlite Wide Screen;2;274213
395;I00395;Fone de Ouvido Profissional AKG K92;2;42899
396;I00396;ACER Notebook Gamer Nitro;3;46040
397;I00397;Soundbar Samsung com 2.1 canais, Dolby Digital;2;10720
398;I00398;Teclado Mecanico Fizz;1;1749
399;I00399;Samsung Galaxy Tab S6 Lite;1;179901
400;I00400;Projetor EPSON Powerlite Wide Screen;3;274213
401;I00401;SSD Crucial 1TB NVMe M.2;4;4490
402;I00402;Soundbar Tomate MTS-2017, Bivolt;3;7699
403;I00403;ACER Notebook Gamer Nitro;1;46040
404;I00404;Fone de Ouvido Profissional EDIFIER WH950NB;3;8990
405;I00405;Fone de Ouvido Sem Fio TWS, PHILIPS;4;12491
406;I00406;Película para iPhone 14Pro Anti impacto;3;518
407;I00407;Fone de Ouvido Profissional AKG K92;3;42899
408;I00408;Fone de ouvido Sem Fio QCY T27;2;12986
409;I00409;Carregador Turbo USB-C 30W;1;499
410;I00410;SSD Crucial 1TB NVMe M.2;1;4490
411;I00411;Mouse Redragon Wireless;1;16599
412;I00412;Fone de ouvido Sem Fio QCY T27;3;12986
413;I00413;Carregador Turbo Tipo-C 50w;1;539
414;I00414;Película de Vidro 3D Galaxy A30s;2;179
415;I00415;Projetor EPSON Powerlite Wide Screen;4;274213
416;I00416;Projetor EPSON Powerlite Wide Screen;1;274213
417;I00417;Teclado Mecanico Fizz;2;1749
418;I00418;Fone de Ouvido Sem Fio TWS, PHILIPS;3;12491
419;I00419;Soundbar Tomate MTS-2017, Bivolt;3;7699
420;I00420;Película de Vidro 3D Galaxy A30s;1;179
421;I00421;ACER Notebook Gamer Nitro;4;46040
422;I00422;"Monitor UHD Samsung 32""";1;162657
423;I00423;Samsung Galaxy Tab S6 Lite;3;179901
424;I00424;Carregador Turbo Tipo-C 50w;3;539
425;I00425;Fone de ouvido Sem Fio QCY T27;1;12986
426;I00426;Película de Vidro 3D Galaxy A30s;2;179
427;I00427;"Monitor UHD Samsung 32""";3;162657
428;I00428;Carregador Turbo USB-C 30W;2;499
429;I00429;Teclado Mecanico Fizz;2;1749
430;I00430;Fone de Ouvido Sem Fio TWS, PHILIPS;4;12491
431;I00431;Smart TV 32” Philco LED Roku TV;4;9490
432;I00432;Soundbar Samsung com 2.1 canais, Dolby Digital;3;10720
433;I00433;Smart TV 32” Philco LED Roku TV;4;9490
434;I00434;Samsung Galaxy Tab S6 Lite;3;179901
435;I00435;Samsung Galaxy A36;3;19791
436;I00436;Projetor Smart Epson EpiqVision, FULL HD;2;304999
437;I00437;"Monitor UHD Samsung 32""";1;162657
438;I00438;Película para iPhone 14Pro Anti impacto;1;518
439;I00439;Samsung Galaxy A36;1;19791
440;I00440;Samsung Galaxy A36;2;19791
441;I00441;Carregador Turbo USB-C 30W;3;499
442;I00442;Samsung Galaxy A36;4;19791
443;I00443;ACER Notebook Gamer Nitro;1;46040
444;I00444;Teclado Mecanico Fizz;4;1749
445;I00445;Mouse Redragon Wireless;4;16599
446;I00446;Fone de Ouvido Profissional EDIFIER WH950NB;1;8990
447;I00447;Smart TV 32” Philco LED Roku TV;3;9490
448;I00448;Película para iPhone 14Pro Anti impacto;4;518
449;I00449;Fone de Ouvido Sem Fio TWS, PHILIPS;2;12491
450;I00450;Fone de Ouvido Profissional EDIFIER WH950NB;1;8990
451;I00451;Fone de ouvido Sem Fio QCY T27;1;12986
452;I00452;Fone de Ouvido Profissional EDIFIER WH950NB;2;8990
453;I00453;Película de Vidro 3D Galaxy A30s;2;179
454;I00454;Fone de ouvido Sem Fio QCY T27;2;12986
455;I00455;Película de Vidro 3D Galaxy A30s;4;179
456;I00456;Samsung Galaxy A36;3;19791
457;I00457;ACER Notebook Gamer Nitro;2;46040
458;I00458;Fone de Ouvido Sem Fio TWS, PHILIPS;1;12491
459;I00459;Samsung Galaxy A36;4;19791
460;I00460;Samsung Galaxy Tab S6 Lite;3;179901
461;I00461;Fone de Ouvido Profissional AKG K92;4;42899
